datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
37.8,-0.126953125,0.678466797,0.6875,0.0,11.33728027,15.50292969,-13.34456654,-10.64566545,-55.92722833,0,,
37.9,-0.106445313,0.607666016,0.645751953,0.0,-14.3737793,24.36828613,-13.34456654,-10.64566545,-55.92722833,0,,
37.9,0.094726563,0.502441406,0.681152344,0.0,-42.05322266,42.89245605,-13.34456654,-10.64566545,-55.92722833,0,,
37.9,0.265380859,0.448730469,0.691162109,0.0,-55.69458008,49.86572266,-13.34456654,-10.64566545,-55.92722833,0,,
37.9,0.659667969,0.195556641,0.5390625,0.0,-75.59204102,48.23303223,-23.69035409,-9.596092796,-54.57777778,0,,
37.9,0.827148438,-0.006103516,0.517333984,0.0,-76.53808594,45.77636719,-23.69035409,-9.596092796,-54.57777778,0,,
37.9,1.094970703,-0.275878906,0.529785156,0.0,-68.16101074,41.94641113,-23.69035409,-9.596092796,-54.57777778,0,,
37.9,1.223388672,-0.353759766,0.692382813,0.0,-60.45532227,33.09631348,-23.69035409,-9.596092796,-54.57777778,0,,
37.9,1.408203125,-0.199707031,0.895996094,0.0,-40.08483887,17.45605469,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,1.587158203,0.815429688,1.086914063,0.0,-5.249023438,-19.30236816,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,1.142089844,1.526367188,0.609375,0.0,11.12365723,-65.94848633,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,0.805175781,1.864746094,0.144775391,0.0,1.037597656,-80.76477051,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,0.613525391,2.106689453,-0.289794922,3.90625,-17.24243164,-80.99365234,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,0.705078125,2.029785156,-0.353027344,0.0,-20.20263672,-60.62316895,-23.69035409,-9.596092796,-54.57777778,0,,
38.0,0.667724609,1.075195313,0.135742188,0.0,58.70056152,-41.96166992,-33.28644689,-9.596092796,-60.27545788,0,,
38.0,0.504394531,0.673339844,0.180419922,0.0,89.99633789,-41.39709473,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,0.358398438,0.367431641,0.357421875,0.0,107.6660156,-48.06518555,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,0.132080078,0.044677734,0.811279297,0.0,134.1094971,-50.97961426,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,-0.016845703,-0.100830078,1.008789063,0.0,149.2614746,-46.23413086,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,-0.254882813,0.039306641,1.106445313,0.0,126.5869141,-47.45483398,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,-0.358642578,0.39453125,1.416259766,0.0,15.19775391,-81.8939209,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,-0.17578125,0.425537109,1.311035156,0.0,-25.36010742,-86.80725098,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,0.053466797,0.467773438,0.958007813,0.0,-50.76599121,-83.72497559,-33.28644689,-9.596092796,-60.27545788,0,,
38.1,0.459228516,0.549560547,0.530273438,0.0,-57.14416504,-73.47106934,-23.54041514,-4.947985348,-55.02759463,0,,
